week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2021-04-10,Non-Hispanic White,493418,0,0,43.2,0,0
2021-04-17,Hispanic/Latino,126188,0,0,24.1,0,0
2021-04-17,Non-Hispanic Asian,86372,0,0,45.9,0,0
2021-04-17,Non-Hispanic Black,104261,0,0,28.2,0,0
2021-04-17,Non-Hispanic Other,105546,0,0,>90,0,0
2021-04-17,Non-Hispanic White,538297,0,0,47.2,0,0
2021-04-24,Hispanic/Latino,141514,0,0,27,0,0
2021-04-24,Non-Hispanic Asian,93966,0,0,49.9,0,0
2021-04-24,Non-Hispanic Black,112573,0,0,30.5,0,0
2021-04-24,Non-Hispanic Other,111656,0,0,>90,0,0
2021-04-24,Non-Hispanic White,568161,0,0,49.8,0,0
2021-05-01,Hispanic/Latino,154547,0,0,29.5,0,0
2021-05-01,Non-Hispanic Asian,99671,0,0,52.9,0,0
2021-05-01,Non-Hispanic Black,118293,0,0,32,0,0
2021-05-01,Non-Hispanic Other,116388,0,0,>90,0,0
2021-05-01,Non-Hispanic White,590928,0,0,51.8,0,0
2021-05-08,Hispanic/Latino,164502,0,0,31.4,0,0
2021-05-08,Non-Hispanic Asian,103063,0,0,54.7,0,0
2021-05-08,Non-Hispanic Black,122800,0,0,33.2,0,0
2021-05-08,Non-Hispanic Other,119710,0,0,>90,0,0
2021-05-08,Non-Hispanic White,605664,0,0,53.1,0,0
2021-05-15,Hispanic/Latino,174467,0,0,33.3,0,0
2021-05-15,Non-Hispanic Asian,106938,0,0,56.8,0,0
2021-05-15,Non-Hispanic Black,128382,0,0,34.7,0,0
2021-05-15,Non-Hispanic Other,123565,0,0,>90,0,0
2021-05-15,Non-Hispanic White,624231,0,0,54.7,0,0
2021-05-22,Hispanic/Latino,186746,0,0,35.7,0,0
2021-05-22,Non-Hispanic Asian,111881,0,0,59.4,0,0
2021-05-22,Non-Hispanic Black,134414,0,0,36.4,0,0
2021-05-22,Non-Hispanic Other,128214,0,0,>90,0,0
2021-05-22,Non-Hispanic White,646769,0,0,56.7,0,0
2021-05-29,Hispanic/Latino,194512,0,0,37.2,0,0
2021-05-29,Non-Hispanic Asian,114534,0,0,60.8,0,0
2021-05-29,Non-Hispanic Black,138600,0,0,37.5,0,0
2021-05-29,Non-Hispanic Other,130965,0,0,>90,0,0
2021-05-29,Non-Hispanic White,659013,0,0,57.8,0,0
2021-06-05,Hispanic/Latino,200210,0,0,38.3,0,0
2021-06-05,Non-Hispanic Asian,116769,0,0,62,0,0
2021-06-05,Non-Hispanic Black,142117,0,0,38.5,0,0
2021-06-05,Non-Hispanic Other,133140,0,0,>90,0,0
2021-06-05,Non-Hispanic White,667573,0,0,58.5,0,0
2021-06-12,Hispanic/Latino,205589,0,0,39.3,0,0
2021-06-12,Non-Hispanic Asian,118264,0,0,62.8,0,0
2021-06-12,Non-Hispanic Black,145361,0,0,39.3,0,0
2021-06-12,Non-Hispanic Other,134751,0,0,>90,0,0
2021-06-12,Non-Hispanic White,674290,0,0,59.1,0,0
2021-06-19,Hispanic/Latino,209960,0,0,40.1,0,0
2021-06-19,Non-Hispanic Asian,119402,0,0,63.4,0,0
2021-06-19,Non-Hispanic Black,147821,0,0,40,0,0
2021-06-19,Non-Hispanic Other,136170,0,0,>90,0,0
2021-06-19,Non-Hispanic White,679721,0,0,59.6,0,0
2021-06-26,Hispanic/Latino,213174,0,0,40.7,0,0
2021-06-26,Non-Hispanic Asian,120234,0,0,63.8,0,0
2021-06-26,Non-Hispanic Black,149907,0,0,40.6,0,0
2021-06-26,Non-Hispanic Other,137321,0,0,>90,0,0
2021-06-26,Non-Hispanic White,683746,0,0,59.9,0,0
2021-07-03,Hispanic/Latino,216714,0,0,41.4,0,0
2021-07-03,Non-Hispanic Asian,121206,0,0,64.3,0,0
2021-07-03,Non-Hispanic Black,152302,0,0,41.2,0,0
2021-07-03,Non-Hispanic Other,138704,0,0,>90,0,0
2021-07-03,Non-Hispanic White,688625,0,0,60.4,0,0
2021-07-10,Hispanic/Latino,219393,0,0,41.9,0,0
2021-07-10,Non-Hispanic Asian,121893,0,0,64.7,0,0
2021-07-10,Non-Hispanic Black,154120,0,0,41.7,0,0
2021-07-10,Non-Hispanic Other,139852,0,0,>90,0,0
2021-07-10,Non-Hispanic White,692018,0,0,60.7,0,0
