week_end,age_cat,n_onedose,n_2023,n_2024,coverage_onedose,coverage_2023,coverage_2024
2021-05-15,65+,374359,0,0,>90,0,0
2021-05-22,0-17,48105,0,0,9.5,0,0
2021-05-22,18-29,168665,0,0,51.8,0,0
2021-05-22,30-49,342276,0,0,58.7,0,0
2021-05-22,50-64,325909,0,0,69.4,0,0
2021-05-22,65+,377560,0,0,>90,0,0
2021-05-29,0-17,56557,0,0,11.2,0,0
2021-05-29,18-29,175635,0,0,54,0,0
2021-05-29,30-49,350574,0,0,60.1,0,0
2021-05-29,50-64,331049,0,0,70.5,0,0
2021-05-29,65+,379631,0,0,>90,0,0
2021-06-05,0-17,63381,0,0,12.5,0,0
2021-06-05,18-29,180425,0,0,55.4,0,0
2021-06-05,30-49,356799,0,0,61.2,0,0
2021-06-05,50-64,334790,0,0,71.3,0,0
2021-06-05,65+,381267,0,0,>90,0,0
2021-06-12,0-17,69041,0,0,13.6,0,0
2021-06-12,18-29,184587,0,0,56.7,0,0
2021-06-12,30-49,361961,0,0,62,0,0
2021-06-12,50-64,337920,0,0,72,0,0
2021-06-12,65+,382690,0,0,>90,0,0
2021-06-19,0-17,72703,0,0,14.3,0,0
2021-06-19,18-29,188156,0,0,57.8,0,0
2021-06-19,30-49,366419,0,0,62.8,0,0
2021-06-19,50-64,340639,0,0,72.6,0,0
2021-06-19,65+,383928,0,0,>90,0,0
2021-06-26,0-17,75497,0,0,14.9,0,0
2021-06-26,18-29,190725,0,0,58.6,0,0
2021-06-26,30-49,369961,0,0,63.4,0,0
2021-06-26,50-64,342662,0,0,73,0,0
2021-06-26,65+,384955,0,0,>90,0,0
2021-07-03,0-17,78435,0,0,15.5,0,0
2021-07-03,18-29,193997,0,0,59.6,0,0
2021-07-03,30-49,374007,0,0,64.1,0,0
2021-07-03,50-64,345127,0,0,73.5,0,0
2021-07-03,65+,386080,0,0,>90,0,0
2021-07-10,0-17,80675,0,0,15.9,0,0
2021-07-10,18-29,196353,0,0,60.3,0,0
2021-07-10,30-49,377054,0,0,64.6,0,0
2021-07-10,50-64,346953,0,0,73.9,0,0
2021-07-10,65+,386884,0,0,>90,0,0
2021-07-17,0-17,84173,0,0,16.6,0,0
2021-07-17,18-29,199485,0,0,61.3,0,0
2021-07-17,30-49,380817,0,0,65.3,0,0
2021-07-17,50-64,349138,0,0,74.4,0,0
2021-07-17,65+,387891,0,0,>90,0,0
2021-07-24,0-17,87932,0,0,17.4,0,0
2021-07-24,18-29,202644,0,0,62.3,0,0
2021-07-24,30-49,384995,0,0,66,0,0
2021-07-24,50-64,351765,0,0,75,0,0
2021-07-24,65+,389068,0,0,>90,0,0
2021-07-31,0-17,91684,0,0,18.1,0,0
2021-07-31,18-29,206046,0,0,63.3,0,0
2021-07-31,30-49,389336,0,0,66.7,0,0
2021-07-31,50-64,354236,0,0,75.5,0,0
2021-07-31,65+,390051,0,0,>90,0,0
2021-08-07,0-17,95546,0,0,18.9,0,0
2021-08-07,18-29,210026,0,0,64.5,0,0
2021-08-07,30-49,394561,0,0,67.6,0,0
2021-08-07,50-64,357059,0,0,76.1,0,0
2021-08-07,65+,391176,0,0,>90,0,0
2021-08-14,0-17,99140,0,0,19.6,0,0
2021-08-14,18-29,213566,0,0,65.6,0,0
2021-08-14,30-49,399270,0,0,68.4,0,0
2021-08-14,50-64,359503,0,0,76.6,0,0
2021-08-14,65+,392231,0,0,>90,0,0
2021-08-21,0-17,101815,0,0,20.1,0,0
2021-08-21,18-29,216932,0,0,66.6,0,0
2021-08-21,30-49,403817,0,0,69.2,0,0
2021-08-21,50-64,361915,0,0,77.1,0,0
2021-08-21,65+,393639,0,0,>90,0,0
2021-08-28,0-17,104010,0,0,20.5,0,0
2021-08-28,18-29,220324,0,0,67.7,0,0
2021-08-28,30-49,408559,0,0,70,0,0
2021-08-28,50-64,364457,0,0,77.7,0,0
2021-08-28,65+,394948,0,0,>90,0,0
2021-09-04,0-17,105791,0,0,20.9,0,0
2021-09-04,18-29,224266,0,0,68.9,0,0
2021-09-04,30-49,413753,0,0,70.9,0,0
2021-09-04,50-64,367120,0,0,78.2,0,0
2021-09-04,65+,396157,0,0,>90,0,0
2021-09-11,0-17,107143,0,0,21.1,0,0
2021-09-11,18-29,226836,0,0,69.7,0,0
2021-09-11,30-49,417396,0,0,71.6,0,0
2021-09-11,50-64,368960,0,0,78.6,0,0
2021-09-11,65+,397010,0,0,>90,0,0
2021-09-18,0-17,108399,0,0,21.4,0,0
2021-09-18,18-29,229372,0,0,70.5,0,0
2021-09-18,30-49,421051,0,0,72.2,0,0
2021-09-18,50-64,370743,0,0,79,0,0
2021-09-18,65+,397952,0,0,>90,0,0
2021-09-25,0-17,109480,0,0,21.6,0,0
2021-09-25,18-29,231448,0,0,71.1,0,0
2021-09-25,30-49,424188,0,0,72.7,0,0
2021-09-25,50-64,372307,0,0,79.3,0,0
2021-09-25,65+,399355,0,0,>90,0,0
2021-10-02,0-17,110418,0,0,21.8,0,0
2021-10-02,18-29,233391,0,0,71.7,0,0
2021-10-02,30-49,427359,0,0,73.3,0,0
2021-10-02,50-64,374068,0,0,79.7,0,0
2021-10-02,65+,402483,0,0,>90,0,0
2021-10-09,0-17,111274,0,0,22,0,0
2021-10-09,18-29,235163,0,0,72.2,0,0
2021-10-09,30-49,430501,0,0,73.8,0,0
2021-10-09,50-64,375921,0,0,80.1,0,0
2021-10-09,65+,405048,0,0,>90,0,0
2021-10-16,0-17,112094,0,0,22.1,0,0
2021-10-16,18-29,236655,0,0,72.7,0,0
2021-10-16,30-49,433367,0,0,74.3,0,0
2021-10-16,50-64,377798,0,0,80.5,0,0
2021-10-16,65+,407255,0,0,>90,0,0
2021-10-23,0-17,112777,0,0,22.3,0,0
2021-10-23,18-29,238133,0,0,73.2,0,0
2021-10-23,30-49,436250,0,0,74.8,0,0
2021-10-23,50-64,379787,0,0,80.9,0,0
2021-10-23,65+,410229,0,0,>90,0,0
2021-10-30,0-17,113347,0,0,22.4,0,0
2021-10-30,18-29,239719,0,0,73.6,0,0
2021-10-30,30-49,439804,0,0,75.4,0,0
2021-10-30,50-64,382716,0,0,81.5,0,0
2021-10-30,65+,414981,0,0,>90,0,0
2021-11-06,0-17,116264,0,0,22.9,0,0
2021-11-06,18-29,241469,0,0,74.2,0,0
2021-11-06,30-49,443602,0,0,76,0,0
2021-11-06,50-64,385606,0,0,82.2,0,0
2021-11-06,65+,418690,0,0,>90,0,0
2021-11-13,0-17,133843,0,0,26.4,0,0
2021-11-13,18-29,243003,0,0,74.7,0,0
2021-11-13,30-49,447341,0,0,76.7,0,0
2021-11-13,50-64,388447,0,0,82.8,0,0
2021-11-13,65+,421840,0,0,>90,0,0
2021-11-20,0-17,146506,0,0,28.9,0,0
2021-11-20,18-29,244843,0,0,75.2,0,0
2021-11-20,30-49,451564,0,0,77.4,0,0
2021-11-20,50-64,391955,0,0,83.5,0,0
2021-11-20,65+,425244,0,0,>90,0,0
2021-11-27,0-17,153762,0,0,30.3,0,0
2021-11-27,18-29,247196,0,0,75.9,0,0
2021-11-27,30-49,455471,0,0,78.1,0,0
2021-11-27,50-64,394980,0,0,84.2,0,0
2021-11-27,65+,427453,0,0,>90,0,0
2021-12-04,0-17,163749,0,0,32.3,0,0
2021-12-04,18-29,249393,0,0,76.6,0,0
2021-12-04,30-49,460535,0,0,78.9,0,0
2021-12-04,50-64,398865,0,0,85,0,0
2021-12-04,65+,430166,0,0,>90,0,0
2021-12-11,0-17,171828,0,0,33.9,0,0
2021-12-11,18-29,251919,0,0,77.4,0,0
2021-12-11,30-49,465976,0,0,79.9,0,0
2021-12-11,50-64,402976,0,0,85.9,0,0
2021-12-11,65+,432408,0,0,>90,0,0
2021-12-18,0-17,178563,0,0,35.2,0,0
2021-12-18,18-29,255142,0,0,78.4,0,0
2021-12-18,30-49,471235,0,0,80.8,0,0
2021-12-18,50-64,406814,0,0,86.7,0,0
2021-12-18,65+,434522,0,0,>90,0,0
2021-12-25,0-17,183537,0,0,36.2,0,0
2021-12-25,18-29,259335,0,0,79.7,0,0
2021-12-25,30-49,475615,0,0,81.5,0,0
2021-12-25,50-64,409830,0,0,87.3,0,0
2021-12-25,65+,436106,0,0,>90,0,0
2022-01-01,0-17,189496,0,0,37.4,0,0
2022-01-01,18-29,263258,0,0,80.9,0,0
2022-01-01,30-49,480243,0,0,82.3,0,0
2022-01-01,50-64,412464,0,0,87.9,0,0
2022-01-01,65+,437342,0,0,>90,0,0
2022-01-08,0-17,198197,0,0,39.1,0,0
2022-01-08,18-29,268585,0,0,82.5,0,0
2022-01-08,30-49,486695,0,0,83.4,0,0
2022-01-08,50-64,415426,0,0,88.5,0,0
2022-01-08,65+,438681,0,0,>90,0,0
2022-01-15,0-17,206293,0,0,40.7,0,0
2022-01-15,18-29,273639,0,0,84.1,0,0
2022-01-15,30-49,492612,0,0,84.4,0,0
2022-01-15,50-64,418080,0,0,89.1,0,0
2022-01-15,65+,439881,0,0,>90,0,0
2022-01-22,0-17,212979,0,0,42,0,0
2022-01-22,18-29,277453,0,0,85.2,0,0
2022-01-22,30-49,497280,0,0,85.2,0,0
2022-01-22,50-64,420195,0,0,89.5,0,0
2022-01-22,65+,440730,0,0,>90,0,0
2022-01-29,0-17,217680,0,0,43,0,0
2022-01-29,18-29,280177,0,0,86.1,0,0
2022-01-29,30-49,500720,0,0,85.8,0,0
2022-01-29,50-64,421667,0,0,89.8,0,0
2022-01-29,65+,441442,0,0,>90,0,0
2022-02-05,0-17,220956,0,0,43.6,0,0
2022-02-05,18-29,282172,0,0,86.7,0,0
2022-02-05,30-49,503235,0,0,86.3,0,0
2022-02-05,50-64,422734,0,0,>90,0,0
2022-02-05,65+,441927,0,0,>90,0,0
2022-02-12,0-17,223987,0,0,44.2,0,0
2022-02-12,18-29,284025,0,0,87.3,0,0
2022-02-12,30-49,505264,0,0,86.6,0,0
2022-02-12,50-64,423679,0,0,>90,0,0
2022-02-12,65+,442390,0,0,>90,0,0
2022-02-19,0-17,225894,0,0,44.6,0,0
2022-02-19,18-29,285107,0,0,87.6,0,0
2022-02-19,30-49,506519,0,0,86.8,0,0
2022-02-19,50-64,424225,0,0,>90,0,0
2022-02-19,65+,442676,0,0,>90,0,0
2022-02-26,0-17,227758,0,0,44.9,0,0
2022-02-26,18-29,286071,0,0,87.9,0,0
2022-02-26,30-49,507691,0,0,87,0,0
2022-02-26,50-64,424713,0,0,>90,0,0
2022-02-26,65+,442971,0,0,>90,0,0
2022-03-05,0-17,229077,0,0,45.2,0,0
2022-03-05,18-29,286750,0,0,88.1,0,0
2022-03-05,30-49,508522,0,0,87.2,0,0
2022-03-05,50-64,425113,0,0,>90,0,0
2022-03-05,65+,443228,0,0,>90,0,0
2022-03-12,0-17,229908,0,0,45.4,0,0
2022-03-12,18-29,287233,0,0,88.2,0,0
2022-03-12,30-49,509128,0,0,87.3,0,0
2022-03-12,50-64,425422,0,0,>90,0,0
2022-03-12,65+,443410,0,0,>90,0,0
2022-03-19,0-17,230647,0,0,45.5,0,0
2022-03-19,18-29,287735,0,0,88.4,0,0
2022-03-19,30-49,509735,0,0,87.4,0,0
2022-03-19,50-64,425735,0,0,>90,0,0
2022-03-19,65+,443593,0,0,>90,0,0
2022-03-26,0-17,231251,0,0,45.6,0,0
2022-03-26,18-29,288092,0,0,88.5,0,0
2022-03-26,30-49,510247,0,0,87.5,0,0
2022-03-26,50-64,426004,0,0,>90,0,0
2022-03-26,65+,443773,0,0,>90,0,0
2022-04-02,0-17,231771,0,0,45.7,0,0
2022-04-02,18-29,288418,0,0,88.6,0,0
2022-04-02,30-49,510701,0,0,87.5,0,0
2022-04-02,50-64,426413,0,0,>90,0,0
2022-04-02,65+,444225,0,0,>90,0,0
2022-04-09,0-17,232194,0,0,45.8,0,0
2022-04-09,18-29,288707,0,0,88.7,0,0
2022-04-09,30-49,511096,0,0,87.6,0,0
2022-04-09,50-64,426852,0,0,>90,0,0
2022-04-09,65+,445038,0,0,>90,0,0
2022-04-16,0-17,232625,0,0,45.9,0,0
2022-04-16,18-29,288994,0,0,88.8,0,0
2022-04-16,30-49,511462,0,0,87.7,0,0
2022-04-16,50-64,427324,0,0,>90,0,0
2022-04-16,65+,445892,0,0,>90,0,0
2022-04-23,0-17,232971,0,0,46,0,0
2022-04-23,18-29,289263,0,0,88.9,0,0
2022-04-23,30-49,511824,0,0,87.7,0,0
2022-04-23,50-64,427786,0,0,>90,0,0
2022-04-23,65+,446652,0,0,>90,0,0
2022-04-30,0-17,233359,0,0,46,0,0
2022-04-30,18-29,289522,0,0,88.9,0,0
2022-04-30,30-49,512187,0,0,87.8,0,0
